frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,2,468.6427001953125 589.474609375 765.855712890625 862.098876953125,570.5765991210938 772.897705078125 663.5065307617188 804.5709228515625,0.6222652792930603,CE61LYL,0.49902474591120405
1,2,467.36228990910945 590.7098591051592 765.6652618005674 865.5258812364114,577.3447875976562 773.1464233398438 661.9215698242188 804.5929565429688,0.5724808573722839,CE61LYL,0.15459269692141978
2,2,463.69974794969954 591.6395806670322 764.4251802953615 868.9193747029474,573.6848754882812 775.0429992675781 661.9408874511719 808.0773315429688,0,0,0
3,2,460.03720599028964 592.5693022289051 763.1850987901556 872.3128681694834,570.0249633789062 776.9395751953125 661.960205078125 811.5617065429688,0.6336173415184021,CE61LYL,0.4077878131371058
4,2,457.5712814691709 594.6156947260599 762.6584352058982 876.851352899045,571.10107421875 777.0447387695312 652.6282348632812 813.1487426757812,0.723523736000061,CE51WYL,0.06981282456497487
5,2,455.8625728729311 596.2834721210812 761.7428834718681 878.2169081091089,570.064208984375 781.3434448242188 653.3565673828125 815.1465454101562,0.5276852250099182,CE61WYL,0.822983415475716
6,2,453.1005620940504 599.2284783369453 760.6652551094114 881.0781396196219,573.3798217773438 778.6913452148438 667.3515625 816.1272583007812,0.4110204577445984,CE61WYL,0.6551241777396379
7,2,451.3632219815639 600.8806554304784 760.1701891282836 882.465459539086,569.3988647460938 782.6839599609375 655.9432983398438 817.3646850585938,0.6170753240585327,CE61GYL,0.15647569421263677
8,2,449.0332301611876 602.1319950611584 760.5531032632128 883.6595049619755,568.2967732747396 786.2935994466146 655.8268636067709 819.5485432942709,0,0,0
9,2,446.70323834081125 603.3833346918382 760.9360173981421 884.8535503848649,567.1946818033854 789.9032389322916 655.7104288736979 821.7324015299479,0,0,0
10,2,444.3732465204349 604.6346743225181 761.3189315330713 886.0475958077543,566.0925903320312 793.5128784179688 655.593994140625 823.916259765625,0.3167654871940613,CE61WYL,0.14921578627033572
11,2,444.8742354681177 605.2853767391983 761.6275464190068 886.5478093917033,565.96142578125 795.3114624023438 655.9951171875 824.2933959960938,0.6972843408584595,CE51UYI,0.2594991556319241
12,2,444.27575718625343 608.2614023079535 760.5661612812894 889.5031503834673,563.004638671875 798.1260986328125 652.6220703125 827.754150390625,0,0,0
13,2,443.67727890438914 611.2374278767087 759.504776143572 892.4584913752312,560.0478515625 800.9407348632812 649.2490234375 831.2149047851562,0,0,0
14,2,443.07880062252485 614.2134534454639 758.4433910058547 895.4138323669953,557.091064453125 803.75537109375 645.8759765625 834.6756591796875,0.2935967743396759,CE51MYL,0.4571315053992307
15,2,442.232367787384 615.9054611686122 757.9221747244533 898.601702008491,556.2400410970052 806.21044921875 645.0523885091146 837.5603637695312,0,0,0
16,2,441.3859349522432 617.5974688917606 757.4009584430519 901.7895716499866,555.3890177408854 808.66552734375 644.2288004557291 840.445068359375,0,0,0
17,2,440.5395021171024 619.289476614909 756.8797421616505 904.9774412914823,554.5379943847656 811.12060546875 643.4052124023438 843.3297729492188,0,0,0
18,2,439.6930692819616 620.9814843380573 756.358525880249 908.165310932978,553.6869710286459 813.57568359375 642.5816243489584 846.2144775390625,0,0,0
19,2,438.84663644682075 622.6734920612057 755.8373095988476 911.3531805744735,552.835947672526 816.03076171875 641.7580362955729 849.0991821289062,0,0,0
20,2,438.0002036116799 624.365499784354 755.3160933174462 914.5410502159692,551.9849243164062 818.48583984375 640.9344482421875 851.98388671875,0.5055402517318726,CE61LYL,0.11472367042543057
21,2,436.9071974514016 626.2297504729449 754.7074140346233 917.4552445513496,552.0822143554688 820.8760986328125 639.52509765625 853.6833984375,0,0,0
22,2,435.8141912911233 628.094001161536 754.0987347518003 920.36943888673,552.1795043945312 823.266357421875 638.1157470703125 855.38291015625,0,0,0
23,2,434.7211851308449 629.9582518501269 753.4900554689774 923.2836332221103,552.2767944335938 825.6566162109375 636.706396484375 857.082421875,0,0,0
24,2,433.6281789705666 631.8225025387179 752.8813761861544 926.1978275574908,552.3740844726562 828.046875 635.2970458984375 858.78193359375,0,0,0
25,2,432.53517281028826 633.6867532273088 752.2726969033315 929.1120218928711,552.4713745117188 830.4371337890625 633.8876953125 860.4814453125,0.41507062315940857,CE51MYL,0.6096503401038722
26,2,429.37044843828266 636.3710137520983 750.1097698574936 931.8690739229957,550.1607666015625 832.8213500976562 635.8592529296875 861.8911743164062,0.42807537317276,CE51MYI,0.19626932568032443
27,2,429.21896737513913 638.6088655937517 750.1248694342692 934.27770304721,549.6112976074219 835.3637084960938 635.9264221191406 865.2978515625,0,0,0
28,2,429.06748631199554 640.8467174354051 750.1399690110447 936.6863321714243,549.0618286132812 837.9060668945312 635.9935913085938 868.7045288085938,0,0,0
29,2,428.916005248852 643.0845692770586 750.1550685878203 939.0949612956385,548.5123596191406 840.4484252929688 636.0607604980469 872.1112060546875,0,0,0
30,2,428.76452418570847 645.3224211187121 750.1701681645959 941.5035904198529,547.962890625 842.9907836914062 636.1279296875 875.5178833007812,0,0,0
31,2,428.6130431225649 647.5602729603655 750.1852677413715 943.9122195440673,547.4134216308594 845.5331420898438 636.1950988769531 878.924560546875,0,0,0
