frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
4,8.0,[1138.1022585667122 556.8575084257877 1572.3413466712984 1071.872111913234],[1295.8924560546875 980.7489624023438 1406.873291015625 1017.7265625],0.7796069383621216,BG65USJ,0.31122793665301984
10,3.0,[565.4286488161533 535.3816395950575 838.023242575822 792.9099371322063],[646.803466796875 688.2958374023438 737.3635864257812 732.6683349609375],0.3469723165035248,AX64OMY,0.21229697572055176
16,3.0,[547.4968489449052 543.0629480577729 829.8635865299091 802.8069513161533],[647.295654296875 703.4139404296875 732.8524169921875 739.9234008789062],0.3155647814273834,IK64OMV,0.09648305042608879
17,3.0,[546.7525445726612 544.89736726299 828.3098001383023 804.8435054182175],[644.2711181640625 704.828857421875 735.1419677734375 740.0352172851562],0.5243618488311768,IK64DMY,0.3733167961080591
18,3.0,[546.2723934485803 546.2344924495202 828.2160054260062 806.4965167975462],[647.8780517578125 706.5076904296875 722.770751953125 740.0394287109375],0.42350253462791443,AK64DMV,0.21786823986512052
19,3.0,[546.2331198586807 547.964248418219 827.5992776832389 808.6353806398848],[649.8535766601562 709.4227294921875 725.019287109375 744.3966064453125],0.6098269820213318,AR64DMV,0.2596248054697277
23,3.0,[547.8527329399826 555.6172315411545 827.1957312278569 817.499392019942],[641.9086303710938 713.6021118164062 727.5821533203125 752.1236572265625],0.5207861065864563,AK64DMY,0.47423418953231644
27,3.0,[540.903474553 560.1994936745375 825.1239075321128 825.3304180430803],[638.9740600585938 718.8653564453125 723.2726440429688 756.0013427734375],0.3665260076522827,AX64DHV,0.20578518358827266
28,3.0,[540.7167562957023 561.7897446734996 825.9008096894869 826.9444514409386],[642.4051513671875 722.2353515625 723.2817993164062 762.3235473632812],0.4371962547302246,IK64DHV,0.07179856886664598
29,3.0,[540.1917462513077 563.8833599485031 826.32003950072 829.0928056699665],[639.4662475585938 724.0099487304688 725.83154296875 762.8133544921875],0.5020907521247864,IM64DRY,0.21383727454090928
