frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
38,1,410.83920026199814 780.473916090983 713.5094544085331 1008.923201683534,511.77001953125 938.4022216796875 605.7849731445312 974.680908203125,0.32321855425834656,NA54RCJ,0.13614125237505414
124,2,1546.0417440119984 539.4720366230616 1816.503140969686 762.2957920702398,1635.93505859375 682.9842529296875 1724.28271484375 723.5847778320312,0.3054192364215851,OV62HWJ,0.2710186290141363
125,2,1547.1582435736548 540.7074691432043 1819.0014781980144 764.2619675209188,1638.7625 686.2821166992187 1727.2660888671876 725.5899169921875,0,0,0
126,2,1548.2747431353112 541.942901663347 1821.4998154263428 766.2281429715978,1641.58994140625 689.57998046875 1730.249462890625 727.5950561523438,0,0,0
127,2,1549.3912426969673 543.1783341834896 1823.9981526546712 768.1943184222766,1644.4173828125 692.8778442382812 1733.2328369140625 729.6001953125,0,0,0
128,2,1550.5077422586237 544.4137667036323 1826.4964898829996 770.1604938729556,1647.24482421875 696.1757080078125 1736.2162109375 731.6053344726563,0,0,0
129,2,1551.62424182028 545.649199223775 1828.994827111328 772.1266693236346,1650.072265625 699.4735717773438 1739.1995849609375 733.6104736328125,0.5325042009353638,UU62MUJ,0.11044277402667971
130,2,1551.9517646506324 546.9923062965147 1831.9641699424078 774.7880451470292,1655.1687825520833 703.2486572265625 1738.9915364583333 736.1165771484375,0,0,0
131,2,1552.279287480985 548.3354133692543 1834.9335127734878 777.4494209704236,1660.2652994791667 707.0237426757812 1738.7834879557292 738.6226806640625,0,0,0
132,2,1552.6068103113373 549.678520441994 1837.9028556045675 780.1107967938182,1665.36181640625 710.798828125 1738.575439453125 741.1287841796875,0.44182541966438293,DU62TIY,0.06563524697214687
133,2,1555.594194147557 550.9942490393312 1840.805835341457 782.5207854232156,1659.654541015625 701.6596069335938 1756.1214599609375 746.4307250976562,0.6715357303619385,DU62HYJ,0.27111827214516737
134,2,1558.0427868461027 554.1956044739715 1843.4434920893443 785.2573415544935,1661.243876139323 701.9708862304688 1757.8191324869792 747.3275146484375,0,0,0
135,2,1560.4913795446482 557.3969599086117 1846.0811488372315 787.9938976857713,1662.8332112630208 702.2821655273438 1759.5168050130208 748.2243041992188,0,0,0
136,2,1562.939972243194 560.5983153432521 1848.7188055851188 790.7304538170492,1664.4225463867188 702.5934448242188 1761.2144775390625 749.12109375,0,0,0
137,2,1565.3885649417398 563.7996707778924 1851.3564623330062 793.4670099483272,1666.0118815104167 702.9047241210938 1762.9121500651042 750.0178833007812,0,0,0
138,2,1567.8371576402853 567.0010262125327 1853.9941190808934 796.2035660796051,1667.6012166341145 703.2160034179688 1764.6098225911458 750.9146728515625,0,0,0
139,2,1570.2857503388311 570.202381647173 1856.6317758287807 798.940122210883,1669.1905517578125 703.5272827148438 1766.3074951171875 751.8114624023438,0.6461935043334961,OU62HTJ,0.3391367164278243
140,2,1571.352964162921 573.1320290059257 1858.4644346273728 802.0738304707647,1675.99658203125 706.0882568359375 1766.5697021484375 755.8425903320312,0.27743086218833923,OA62HTJ,0.28925066214774015
141,2,1572.9860433054062 574.1033234835947 1860.6901879728857 804.0387286751464,1676.7439662388392 711.2127162388393 1768.7442103794642 758.750505719866,0,0,0
142,2,1574.6191224478912 575.0746179612638 1862.9159413183984 806.0036268795283,1677.4913504464287 716.337175641741 1770.9187186104912 761.6584211077009,0,0,0
143,2,1576.2522015903764 576.0459124389329 1865.1416946639113 807.96852508391,1678.238734654018 721.4616350446429 1773.093226841518 764.5663364955357,0,0,0
144,2,1577.8852807328617 577.017206916602 1867.367448009424 809.9334232882917,1678.986118861607 726.5860944475446 1775.2677350725446 767.4742518833706,0,0,0
145,2,1579.518359875347 577.9885013942711 1869.5932013549368 811.8983214926734,1679.7335030691963 731.7105538504464 1777.4422433035713 770.3821672712054,0,0,0
146,2,1581.151439017832 578.9597958719402 1871.8189547004495 813.8632196970552,1680.4808872767858 736.8350132533482 1779.6167515345983 773.2900826590402,0,0,0
147,2,1582.7845181603172 579.9310903496092 1874.0447080459624 815.8281179014369,1681.228271484375 741.95947265625 1781.791259765625 776.197998046875,0.32213592529296875,AY62HIJ,0.1600438611450418
148,2,1585.5417449805977 581.2045385378021 1877.3134538600225 819.2034634622573,1685.089599609375 736.214599609375 1784.58837890625 776.7627868652344,0,0,0
149,2,1588.298971800878 582.477986725995 1880.5821996740829 822.5788090230777,1688.950927734375 730.4697265625 1787.385498046875 777.3275756835938,0.39592739939689636,OA62HIJ,0.24165177218594608
10,3,565.4286488161533 535.3816395950575 838.023242575822 792.9099371322063,646.803466796875 688.2958374023438 737.3635864257812 732.6683349609375,0.3469723165035248,AX64OMY,0.21229697572055176
11,3,562.4400155042787 536.6618576721768 836.6632999015031 794.5594394961975,646.885498046875 690.8155212402344 736.6117248535156 733.8775126139323,0,0,0
12,3,559.4513821924039 537.942075749296 835.3033572271844 796.2089418601887,646.967529296875 693.335205078125 735.85986328125 735.0866902669271,0,0,0
13,3,556.4627488805293 539.2222938264152 833.9434145528655 797.8584442241798,647.049560546875 695.8548889160156 735.1080017089844 736.2958679199219,0,0,0
14,3,553.4741155686546 540.5025119035345 832.5834718785467 799.507946588171,647.131591796875 698.3745727539062 734.3561401367188 737.5050455729166,0,0,0
15,3,550.4854822567798 541.7827299806537 831.2235292042279 801.1574489521622,647.213623046875 700.8942565917969 733.6042785644531 738.7142232259115,0,0,0
16,3,547.4968489449052 543.0629480577729 829.8635865299091 802.8069513161533,647.295654296875 703.4139404296875 732.8524169921875 739.9234008789062,0.3155647814273834,IK64OMV,0.09648305042608879
17,3,546.7525445726612 544.89736726299 828.3098001383023 804.8435054182175,644.2711181640625 704.828857421875 735.1419677734375 740.0352172851562,0.5243618488311768,IK64DMY,0.3733167961080591
18,3,546.2723934485803 546.2344924495202 828.2160054260062 806.4965167975462,647.8780517578125 706.5076904296875 722.770751953125 740.0394287109375,0.42350253462791443,AK64DMV,0.21786823986512052
19,3,546.2331198586807 547.964248418219 827.5992776832389 808.6353806398848,649.8535766601562 709.4227294921875 725.019287109375 744.3966064453125,0.6098269820213318,AR64DMV,0.2596248054697277
20,3,546.6380231290061 549.8774941989528 827.4983910693934 810.8513834848991,647.8673400878906 710.4675750732422 725.6600036621094 746.328369140625,0,0,0
21,3,547.0429263993317 551.7907399796868 827.397504455548 813.0673863299135,645.881103515625 711.5124206542969 726.3007202148438 748.2601318359375,0,0,0
22,3,547.4478296696572 553.7039857604207 827.2966178417024 815.2833891749277,643.8948669433594 712.5572662353516 726.9414367675781 750.19189453125,0,0,0
23,3,547.8527329399826 555.6172315411545 827.1957312278569 817.499392019942,641.9086303710938 713.6021118164062 727.5821533203125 752.1236572265625,0.5207861065864563,AK64DMY,0.47423418953231644
24,3,546.115418343237 556.7627970745002 826.6777753039208 819.4571485257266,641.1749877929688 714.9179229736328 726.5047760009766 753.0930786132812,0,0,0
25,3,544.3781037464913 557.908362607846 826.1598193799848 821.4149050315111,640.4413452148438 716.2337341308594 725.4273986816406 754.0625,0,0,0
26,3,542.6407891497456 559.0539281411918 825.6418634560488 823.3726615372957,639.7077026367188 717.5495452880859 724.3500213623047 755.0319213867188,0,0,0
27,3,540.903474553 560.1994936745375 825.1239075321128 825.3304180430803,638.9740600585938 718.8653564453125 723.2726440429688 756.0013427734375,0.3665260076522827,AX64DHV,0.20578518358827266
28,3,540.7167562957023 561.7897446734996 825.9008096894869 826.9444514409386,642.4051513671875 722.2353515625 723.2817993164062 762.3235473632812,0.4371962547302246,IK64DHV,0.07179856886664598
29,3,540.1917462513077 563.8833599485031 826.32003950072 829.0928056699665,639.4662475585938 724.0099487304688 725.83154296875 762.8133544921875,0.5020907521247864,IM64DRY,0.21383727454090928
30,3,538.7827007624242 564.7022495168014 825.9370084428033 830.8489323926472,634.7156982421875 727.7113037109375 720.5916137695312 764.4537963867188,0.7134951949119568,AK64JMY,0.21639263890121618
31,3,536.6284953866518 568.0645426776708 824.7615062645614 832.985292870139,636.2991943359375 727.8574829101562 715.5849609375 763.7208862304688,0.7067369222640991,AX64DMY,0.19618351417343044
32,3,535.5365105074054 569.9498840211387 824.9580012344786 834.1556282672512,634.4580688476562 727.9368896484375 717.3729858398438 764.0950927734375,0.7360150218009949,AK64DMV,0.18010198458865334
33,3,534.4174238803012 571.3602682070307 824.4684834475212 835.6500912212184,632.6153717041016 730.0892486572266 718.2011566162109 766.0217742919922,0,0,0
34,3,533.2983372531969 572.7706523929226 823.9789656605637 837.1445541751856,630.7726745605469 732.2416076660156 719.0293273925781 767.9484558105469,0,0,0
35,3,532.1792506260927 574.1810365788144 823.4894478736063 838.6390171291528,628.9299774169922 734.3939666748047 719.8574981689453 769.8751373291016,0,0,0
36,3,531.0601639989884 575.5914207647064 822.9999300866489 840.1334800831199,627.0872802734375 736.5463256835938 720.6856689453125 771.8018188476562,0.2789563536643982,AA64DMY,0.7698009457662832
37,3,529.0624718435657 577.4784110767756 819.7573245351831 842.8063443907051,625.606201171875 737.1099548339844 716.3497009277344 774.5237121582031,0,0,0
38,3,527.0647796881431 579.3654013888448 816.5147189837173 845.4792086982903,624.1251220703125 737.673583984375 712.0137329101562 777.24560546875,0.3030589818954468,AK64DMV,0.36845651754453074
39,3,526.4224712386559 580.7010665024163 815.6381583904434 847.2659809561635,626.8535461425781 741.012939453125 710.4290161132812 778.8407897949219,0,0,0
40,3,525.7801627891688 582.036731615988 814.7615977971695 849.0527532140368,629.5819702148438 744.352294921875 708.8442993164062 780.4359741210938,0.4452354311943054,AX67OMV,0.23245757116077168
41,3,524.5417217626591 582.3287501665606 813.9210732349596 850.2913817877552,623.6315307617188 745.7111206054688 707.8299255371094 782.7675476074219,0,0,0
42,3,523.3032807361494 582.6207687171332 813.0805486727497 851.5300103614736,617.6810913085938 747.0699462890625 706.8155517578125 785.09912109375,0.5833300948143005,AK64DMV,0.5364068970829929
